ts,command_id,command_type,target_system,priority,is_urgent,send_time_ms,deadline_met,network_met,adherent,deadline_violation_ms,precision_ms,reason
2026-03-21T11:23:05.279119700+00:00,066e6f58-30e8-4cfa-95ce-44db7ecad63c,Recovery,AllSystems,1,true,0.345,true,true,true,0.000,6.924,ok
2026-03-21T11:23:05.292165100+00:00,487ff7e9-e987-4eac-9c7d-9b3c877e8a83,Emergency,AllSystems,0,true,0.345,true,true,true,0.000,21.152,ok
2026-03-21T11:23:05.294271600+00:00,556878fa-183b-4c4c-b6bd-4b4ca5548d79,AttitudeControl,AttitudeControl,1,true,0.066,true,true,true,0.000,31.053,ok
2026-03-21T11:23:05.302524400+00:00,23c33911-997e-4108-a8e4-a5a2f4bbce45,PowerControl,PowerManagement,1,true,0.114,true,true,true,0.000,41.422,ok
2026-03-21T11:23:05.305760500+00:00,42e86314-58a1-4387-820d-07209a860963,Emergency,AllSystems,0,true,0.055,true,true,true,0.000,51.021,ok
2026-03-21T11:23:05.307882700+00:00,58eaa5d4-ea7c-4fbb-8e0f-249d80ec890d,ThermalControl,ThermalManagement,1,true,0.076,true,true,true,0.000,52.997,ok
2026-03-21T11:23:05.309969900+00:00,bf2e4077-c11f-44ac-8df2-677e6f5deb87,ThermalControl,ThermalManagement,3,false,0.120,true,true,true,0.000,56.221,ok
2026-03-21T11:23:05.311080900+00:00,aefa4391-9969-4ab9-bc4f-aa4dd97d61b7,ThermalControl,ThermalManagement,2,false,0.044,true,true,true,0.000,56.789,ok
2026-03-21T11:23:05.311831900+00:00,89ea8571-7c13-4a1b-91b2-20c7f0071a4a,PowerControl,PowerManagement,3,false,0.038,true,true,true,0.000,56.870,ok
2026-03-21T11:23:05.312955200+00:00,c9ee4821-a78c-4bfb-99ec-00229c516bf7,PowerControl,PowerManagement,2,false,0.040,true,true,true,0.000,53.029,ok
2026-03-21T11:23:05.317252500+00:00,d92fbb1b-2386-4b1b-9f85-7a2fe8c19899,AttitudeControl,AttitudeControl,3,false,0.216,true,true,true,0.000,54.867,ok
2026-03-21T11:23:05.320255700+00:00,16cb9327-9e9c-44ea-8419-def09ca6f640,AttitudeControl,AttitudeControl,2,false,0.101,true,true,true,0.000,57.029,ok
2026-03-21T11:23:05.321608200+00:00,7d61a847-420a-46c0-a0c7-332817b8c258,DataRequest,ThermalManagement,2,false,0.064,true,true,true,0.000,56.990,ok
2026-03-21T11:23:05.322467700+00:00,fb0328b6-6fd0-4591-8a22-1ed8714e7aba,DataRequest,PowerManagement,2,false,0.056,true,true,true,0.000,52.407,ok
2026-03-21T11:23:05.323551800+00:00,222954fa-0487-4a4d-aee7-6ff32c30ac80,DataRequest,AttitudeControl,2,false,0.069,true,true,true,0.000,52.989,ok
2026-03-21T11:23:05.324645100+00:00,c8bc8741-0bf0-455a-801a-4110e4e90718,ThermalControl,ThermalManagement,3,false,0.043,true,true,true,0.000,47.721,ok
2026-03-21T11:23:05.380677+00:00,5e8d7261-47ec-42e5-b6bd-f03ef935443c,ThermalControl,ThermalManagement,3,false,0.171,true,true,true,0.000,3.494,ok
