ts,event_type,interlock_id,activation_reason,fault_id,fault_type,activated_at,released_at,activation_latency_ms,total_active_ms
2026-03-20T18:25:14.802136100+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:14.801563600+00:00,,0.009,
2026-03-20T18:25:15.226929+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:14.801563600+00:00,2026-03-20T18:25:15.226679200+00:00,0.009,425.115
2026-03-20T18:25:15.778769600+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:15.778409800+00:00,,0.009,
2026-03-20T18:25:16.227107200+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:15.778409800+00:00,2026-03-20T18:25:16.226801300+00:00,0.009,448.391
2026-03-20T18:25:16.743768300+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:16.743474600+00:00,,0.007,
2026-03-20T18:25:17.226095700+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:16.743474600+00:00,2026-03-20T18:25:17.225790900+00:00,0.007,482.316
2026-03-20T18:25:17.745371400+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:17.744943400+00:00,,0.009,
2026-03-20T18:25:18.226095300+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:17.744943400+00:00,2026-03-20T18:25:18.225868+00:00,0.009,480.924
2026-03-20T18:25:19.762268300+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:19.761884+00:00,,0.009,
2026-03-20T18:25:20.227012500+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:19.761884+00:00,2026-03-20T18:25:20.226655400+00:00,0.009,464.771
2026-03-20T18:25:20.746443500+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:20.745811700+00:00,,0.010,
2026-03-20T18:25:21.226379100+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:20.745811700+00:00,2026-03-20T18:25:21.226117500+00:00,0.010,480.305
2026-03-20T18:25:21.742035500+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:21.741665300+00:00,,0.011,
2026-03-20T18:25:22.227096600+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:21.741665300+00:00,2026-03-20T18:25:22.226747100+00:00,0.011,485.081
2026-03-20T18:25:22.744380900+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:22.744071900+00:00,,0.009,
2026-03-20T18:25:23.227413200+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:22.744071900+00:00,2026-03-20T18:25:23.227062800+00:00,0.009,482.990
2026-03-20T18:25:24.745863800+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:24.745487400+00:00,,0.008,
2026-03-20T18:25:24.813090900+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:25:24.745487400+00:00,2026-03-20T18:25:24.812743400+00:00,0.008,67.256
