ts,total,critical,important,normal
2026-03-17T15:45:45.495861800+00:00,64,0,64,0
2026-03-17T15:45:45.544131200+00:00,64,0,64,0
2026-03-17T15:45:45.592318200+00:00,64,0,64,0
2026-03-17T15:45:45.656080500+00:00,64,0,64,0
2026-03-17T15:45:45.705303500+00:00,64,0,56,8
2026-03-17T15:45:45.753452600+00:00,64,0,1,63
2026-03-17T15:45:45.800492700+00:00,64,0,1,63
2026-03-17T15:45:45.848662+00:00,64,0,1,63
2026-03-17T15:45:45.897452500+00:00,64,0,1,63
2026-03-17T15:45:45.937248900+00:00,14,0,1,13
2026-03-17T15:45:45.996232900+00:00,1,0,1,0
2026-03-17T15:45:46.042802400+00:00,3,0,1,2
2026-03-17T15:45:46.089858300+00:00,1,0,1,0
2026-03-17T15:45:46.137244500+00:00,2,0,1,1
2026-03-17T15:45:46.197947200+00:00,1,0,1,0
2026-03-17T15:45:46.245703400+00:00,3,0,1,2
2026-03-17T15:45:50.494495600+00:00,1,0,1,0
2026-03-17T15:45:50.549429900+00:00,64,0,64,0
2026-03-17T15:45:50.597492900+00:00,64,0,22,42
2026-03-17T15:45:50.640160200+00:00,24,0,1,23
2026-03-17T15:45:50.683704400+00:00,2,0,1,1
2026-03-17T15:45:50.745858800+00:00,2,0,1,1
2026-03-17T15:45:50.791976700+00:00,1,0,1,0
2026-03-17T15:45:50.839802+00:00,2,0,1,1
2026-03-17T15:45:50.885930700+00:00,2,0,1,1
2026-03-17T15:45:50.947675700+00:00,2,0,1,1
2026-03-17T15:45:50.993785200+00:00,1,0,1,0
2026-03-17T15:45:51.057463800+00:00,2,0,1,1
2026-03-17T15:45:51.089502500+00:00,2,0,1,1
2026-03-17T15:45:51.136369600+00:00,2,0,1,1
2026-03-17T15:45:51.196934200+00:00,1,0,1,0
2026-03-17T15:45:51.244588100+00:00,2,0,1,1
2026-03-17T15:45:51.292235100+00:00,2,0,1,1
2026-03-17T15:46:20.541631800+00:00,64,0,64,0
2026-03-17T15:46:20.605243900+00:00,64,0,64,0
2026-03-17T15:46:20.653231400+00:00,64,0,64,0
2026-03-17T15:46:20.699154500+00:00,64,0,64,0
2026-03-17T15:46:20.745534700+00:00,64,0,64,0
2026-03-17T15:46:20.794714900+00:00,64,0,12,52
2026-03-17T15:46:20.856324900+00:00,64,0,1,63
2026-03-17T15:46:20.903634300+00:00,64,0,1,63
2026-03-17T15:46:20.951164700+00:00,64,0,1,63
2026-03-17T15:46:20.991309100+00:00,14,0,1,13
2026-03-17T15:46:21.037399+00:00,1,0,1,0
2026-03-17T15:46:21.100530300+00:00,2,0,1,1
2026-03-17T15:46:21.146293700+00:00,2,0,1,1
2026-03-17T15:46:21.194182900+00:00,2,0,1,1
2026-03-17T15:46:21.241117800+00:00,1,0,1,0
2026-03-17T15:46:21.287776400+00:00,2,0,1,1
2026-03-17T15:46:25.534954900+00:00,2,0,1,1
