ts,batch_size,avg_queue_ms,max_queue_ms,fill_pct,event
2026-03-17T15:45:20.532800600+00:00,2,50.365,50.365,0.0,missed_init
2026-03-17T15:45:20.582360400+00:00,2,25.431,25.431,0.0,not_in_window
2026-03-17T15:45:20.632710400+00:00,2,75.776,75.776,0.2,not_in_window
2026-03-17T15:45:20.682297+00:00,2,125.365,125.365,0.8,not_in_window
2026-03-17T15:45:20.732168800+00:00,2,175.213,175.213,0.8,not_in_window
2026-03-17T15:45:20.782213600+00:00,2,225.285,225.285,1.4,not_in_window
2026-03-17T15:45:20.832247500+00:00,2,275.322,275.322,1.6,not_in_window
2026-03-17T15:45:20.883531200+00:00,2,326.599,326.599,2.0,not_in_window
2026-03-17T15:45:20.932595+00:00,2,375.653,375.653,2.3,not_in_window
2026-03-17T15:45:20.991474500+00:00,2,434.534,434.534,2.5,not_in_window
2026-03-17T15:45:21.032345+00:00,2,475.411,475.411,2.9,not_in_window
2026-03-17T15:45:21.082172100+00:00,2,525.242,525.242,3.3,not_in_window
2026-03-17T15:45:21.132395500+00:00,2,575.464,575.464,3.7,not_in_window
2026-03-17T15:45:21.182469700+00:00,2,625.532,625.532,3.9,not_in_window
2026-03-17T15:45:21.232889400+00:00,2,675.957,675.957,4.3,not_in_window
2026-03-17T15:45:21.282365700+00:00,2,725.432,725.432,4.7,not_in_window
2026-03-17T15:45:21.332267500+00:00,2,775.338,775.338,5.1,not_in_window
2026-03-17T15:45:21.382378400+00:00,2,825.448,825.448,5.3,not_in_window
2026-03-17T15:45:21.432285900+00:00,2,875.352,875.352,5.7,not_in_window
2026-03-17T15:45:21.482412800+00:00,2,925.465,925.465,6.1,not_in_window
2026-03-17T15:45:21.532372600+00:00,2,975.440,975.440,6.4,not_in_window
2026-03-17T15:45:21.582332800+00:00,2,1025.403,1025.403,6.6,not_in_window
2026-03-17T15:45:21.633530500+00:00,2,1076.598,1076.598,7.0,not_in_window
2026-03-17T15:45:21.682313300+00:00,2,1125.387,1125.387,7.2,not_in_window
2026-03-17T15:45:21.732367700+00:00,2,1175.428,1175.428,7.8,not_in_window
2026-03-17T15:45:21.782132800+00:00,2,1225.180,1225.180,7.8,not_in_window
2026-03-17T15:45:21.832261700+00:00,2,1275.332,1275.332,8.4,not_in_window
2026-03-17T15:45:21.882098700+00:00,2,1325.164,1325.164,8.6,not_in_window
2026-03-17T15:45:21.932102400+00:00,2,1375.164,1375.164,9.0,not_in_window
2026-03-17T15:45:21.982122100+00:00,2,1425.159,1425.159,9.2,not_in_window
2026-03-17T15:45:22.032095500+00:00,2,1475.159,1475.159,9.6,not_in_window
2026-03-17T15:45:22.082080700+00:00,2,1525.148,1525.148,10.0,not_in_window
2026-03-17T15:45:22.132090800+00:00,2,1575.157,1575.157,10.4,not_in_window
2026-03-17T15:45:22.182109400+00:00,2,1625.157,1625.157,10.5,not_in_window
2026-03-17T15:45:22.232098100+00:00,2,1675.147,1675.147,10.9,not_in_window
2026-03-17T15:45:22.282082100+00:00,2,1725.151,1725.151,11.3,not_in_window
2026-03-17T15:45:22.332069100+00:00,2,1775.138,1775.138,11.7,not_in_window
2026-03-17T15:45:22.382099600+00:00,2,1825.148,1825.148,11.9,not_in_window
2026-03-17T15:45:22.432465400+00:00,2,1875.528,1875.528,12.3,not_in_window
2026-03-17T15:45:22.482069800+00:00,2,1925.139,1925.139,12.7,not_in_window
2026-03-17T15:45:22.532064500+00:00,2,1975.142,1975.142,13.1,not_in_window
2026-03-17T15:45:22.582099+00:00,2,2025.148,2025.148,13.3,not_in_window
2026-03-17T15:45:22.633261300+00:00,2,2076.314,2076.314,13.5,not_in_window
2026-03-17T15:45:22.694295500+00:00,2,2137.356,2137.356,14.3,not_in_window
2026-03-17T15:45:22.732110400+00:00,2,2175.172,2175.172,14.5,not_in_window
2026-03-17T15:45:22.782130400+00:00,2,2225.163,2225.163,14.6,not_in_window
2026-03-17T15:45:22.832062500+00:00,2,2275.139,2275.139,15.0,not_in_window
2026-03-17T15:45:22.883654100+00:00,2,2326.675,2326.675,15.2,not_in_window
2026-03-17T15:45:22.932104+00:00,2,2375.144,2375.144,15.6,not_in_window
2026-03-17T15:45:22.982092500+00:00,2,2425.143,2425.143,16.0,not_in_window
2026-03-17T15:45:23.032073800+00:00,2,2475.149,2475.149,16.4,not_in_window
2026-03-17T15:45:23.082108100+00:00,2,2525.154,2525.154,16.6,not_in_window
2026-03-17T15:45:23.133612200+00:00,2,2576.644,2576.644,17.0,not_in_window
2026-03-17T15:45:23.182096+00:00,2,2625.144,2625.144,17.4,not_in_window
2026-03-17T15:45:23.232068300+00:00,2,2675.145,2675.145,17.8,not_in_window
2026-03-17T15:45:23.282104100+00:00,2,2725.154,2725.154,18.0,not_in_window
2026-03-17T15:45:23.332064300+00:00,2,2775.140,2775.140,18.6,not_in_window
2026-03-17T15:45:23.382088800+00:00,2,2825.140,2825.140,18.8,not_in_window
2026-03-17T15:45:23.432107300+00:00,2,2875.161,2875.161,19.1,not_in_window
2026-03-17T15:45:23.482097200+00:00,2,2925.143,2925.143,19.3,not_in_window
2026-03-17T15:45:23.532082200+00:00,2,2975.150,2975.150,19.9,not_in_window
2026-03-17T15:45:23.582108800+00:00,2,3025.152,3025.152,20.1,not_in_window
2026-03-17T15:45:23.632584800+00:00,2,3075.589,3075.589,20.3,not_in_window
2026-03-17T15:45:23.682101600+00:00,2,3125.146,3125.146,20.7,not_in_window
2026-03-17T15:45:23.732212900+00:00,2,3175.241,3175.241,21.1,not_in_window
2026-03-17T15:45:23.782117100+00:00,2,3225.159,3225.159,21.5,not_in_window
2026-03-17T15:45:23.836494500+00:00,2,3279.537,3279.537,21.7,not_in_window
2026-03-17T15:45:23.883627700+00:00,2,3326.665,3326.665,22.1,not_in_window
2026-03-17T15:45:23.932099500+00:00,2,3375.146,3375.146,22.5,not_in_window
2026-03-17T15:45:23.982095500+00:00,2,3425.143,3425.143,22.9,not_in_window
2026-03-17T15:45:24.032097200+00:00,2,3475.145,3475.145,23.0,not_in_window
2026-03-17T15:45:24.085245900+00:00,2,3528.285,3528.285,23.4,not_in_window
2026-03-17T15:45:24.132103700+00:00,2,3575.151,3575.151,23.8,not_in_window
