ts,event,fault_id,target,kind,duration_ms,component,recovery_ms,aborted,note
2026-02-20T05:03:51.528817500+00:00,inject,898dea8f-9373-473a-a9f4-4927bed69a64,power,corrupt,200,,,,
2026-02-20T05:03:51.735707500+00:00,recovery,898dea8f-9373-473a-a9f4-4927bed69a64,,,,power,1.1,false,
2026-03-11T03:54:10.060405+00:00,inject,b3ed92ca-cbf1-4546-86b0-c92334ee8352,power,corrupt,200,,,,
2026-03-11T03:54:10.266662700+00:00,recovery,b3ed92ca-cbf1-4546-86b0-c92334ee8352,,,,power,1.0,false,
2026-03-11T03:54:42.724894+00:00,inject,c9f2316f-fd2f-487b-9e6f-1a3becd883e3,power,corrupt,200,,,,
2026-03-11T03:54:42.943453800+00:00,recovery,c9f2316f-fd2f-487b-9e6f-1a3becd883e3,,,,power,15.4,false,
2026-03-17T15:45:20.447385800+00:00,inject,13baf361-6095-4702-a803-54f8319f82ab,power,corrupt,200,,,,
2026-03-17T15:45:20.670782500+00:00,recovery,13baf361-6095-4702-a803-54f8319f82ab,,,,power,17.3,false,
2026-03-17T15:46:20.448116900+00:00,inject,c0a4c2bf-9f95-4184-b111-4c46be9e1505,attitude,pause,150,,,,
2026-03-17T15:46:20.707477900+00:00,recovery,c0a4c2bf-9f95-4184-b111-4c46be9e1505,,,,attitude,102.1,false,
2026-03-17T15:47:20.462613600+00:00,inject,1f0ee3d0-83df-42d6-a226-cba1e4dd92ab,thermal,delay,150,,,,
2026-03-17T15:47:20.634927200+00:00,recovery,1f0ee3d0-83df-42d6-a226-cba1e4dd92ab,,,,thermal,16.5,false,
2026-03-17T15:48:20.469061700+00:00,inject,fd77596e-de0a-416b-8c09-e3ffa9bba6ee,power,corrupt,200,,,,
2026-03-17T15:48:20.722045200+00:00,recovery,fd77596e-de0a-416b-8c09-e3ffa9bba6ee,,,,power,52.0,false,
2026-03-17T15:49:20.482345500+00:00,inject,984b8965-6f65-4ccd-8d3b-e5c487997007,attitude,pause,150,,,,
2026-03-17T15:49:20.826661700+00:00,recovery,984b8965-6f65-4ccd-8d3b-e5c487997007,,,,attitude,187.0,false,
2026-03-17T15:50:26.923965900+00:00,inject,126aaee2-0f31-413c-aa22-1a79caf9bb18,power,corrupt,200,,,,
2026-03-17T15:50:27.135830500+00:00,recovery,126aaee2-0f31-413c-aa22-1a79caf9bb18,,,,power,6.2,false,
