ts,sensor,seq,jitter_ms,drift_ms,processing_latency_ms,priority,status
2026-03-17T15:45:20.482538800+00:00,thermal,0,0.000,0.000,0.650,important,warning
2026-03-17T15:45:20.532125300+00:00,thermal,1,0.011,0.011,0.225,important,warning
2026-03-17T15:45:20.557367900+00:00,power,0,0.000,0.000,0.453,normal,normal
2026-03-17T15:45:20.582102400+00:00,thermal,2,0.004,0.004,0.198,important,warning
2026-03-17T15:45:20.632358200+00:00,thermal,3,0.004,0.004,0.450,important,warning
2026-03-17T15:45:20.654066800+00:00,attitude,0,0.000,0.000,0.521,important,warning
2026-03-17T15:45:20.670186900+00:00,power,1,12.600,12.600,0.668,critical,critical
2026-03-17T15:45:20.682167800+00:00,thermal,4,0.002,0.002,0.260,important,warning
2026-03-17T15:45:20.732217500+00:00,thermal,5,0.008,0.008,0.301,important,warning
2026-03-17T15:45:20.777215600+00:00,power,2,7.228,7.228,0.468,normal,normal
2026-03-17T15:45:20.782126100+00:00,thermal,6,0.004,0.004,0.209,important,warning
2026-03-17T15:45:20.832109300+00:00,thermal,7,0.000,0.000,0.188,important,warning
2026-03-17T15:45:20.868870600+00:00,attitude,1,15.020,15.020,0.337,important,warning
2026-03-17T15:45:20.882532400+00:00,thermal,8,0.002,0.002,0.611,important,warning
2026-03-17T15:45:20.883830+00:00,power,3,6.743,6.743,0.349,normal,normal
2026-03-17T15:45:20.932297600+00:00,thermal,9,0.007,0.007,0.367,important,warning
2026-03-17T15:45:20.982105900+00:00,thermal,10,0.002,0.002,0.161,important,warning
2026-03-17T15:45:20.993086+00:00,power,4,7.906,7.906,1.688,normal,normal
2026-03-17T15:45:21.032216100+00:00,thermal,11,0.004,0.004,0.280,important,warning
2026-03-17T15:45:21.070239+00:00,attitude,2,1.511,1.511,0.196,normal,normal
2026-03-17T15:45:21.082080900+00:00,thermal,12,0.006,0.006,0.141,important,warning
2026-03-17T15:45:21.101914900+00:00,power,5,10.144,10.144,0.378,normal,normal
2026-03-17T15:45:21.132223600+00:00,thermal,13,0.006,0.006,0.275,important,warning
2026-03-17T15:45:21.182315700+00:00,thermal,14,0.007,0.007,0.345,important,warning
2026-03-17T15:45:21.212823600+00:00,power,6,10.925,10.925,0.348,normal,normal
2026-03-17T15:45:21.232623500+00:00,thermal,15,0.004,0.004,0.650,important,warning
2026-03-17T15:45:21.274865100+00:00,attitude,3,4.569,4.569,0.254,normal,normal
2026-03-17T15:45:21.282192100+00:00,thermal,16,0.008,0.008,0.229,important,warning
2026-03-17T15:45:21.322351400+00:00,power,7,9.368,9.368,0.521,normal,normal
2026-03-17T15:45:21.332184+00:00,thermal,17,0.003,0.003,0.219,important,warning
2026-03-17T15:45:21.382270800+00:00,thermal,18,0.007,0.007,0.295,important,warning
2026-03-17T15:45:21.430800700+00:00,power,8,8.680,8.680,0.281,normal,normal
2026-03-17T15:45:21.432177100+00:00,thermal,19,0.010,0.010,0.194,important,warning
2026-03-17T15:45:21.476209400+00:00,attitude,4,1.329,1.329,0.267,normal,normal
2026-03-17T15:45:21.482187600+00:00,thermal,20,0.000,0.000,0.205,important,warning
2026-03-17T15:45:21.531467200+00:00,power,9,0.559,0.559,0.398,normal,normal
2026-03-17T15:45:21.532262+00:00,thermal,21,0.009,0.009,0.270,important,warning
2026-03-17T15:45:21.582225900+00:00,thermal,22,0.008,0.008,0.221,important,warning
2026-03-17T15:45:21.631332700+00:00,power,10,0.002,-0.002,0.265,normal,normal
2026-03-17T15:45:21.632171100+00:00,thermal,23,0.001,0.001,0.170,important,warning
2026-03-17T15:45:21.679409900+00:00,attitude,5,3.207,3.207,0.262,normal,normal
2026-03-17T15:45:21.682203700+00:00,thermal,24,0.008,0.008,0.196,important,warning
2026-03-17T15:45:21.731288100+00:00,power,11,0.001,0.001,0.220,normal,normal
2026-03-17T15:45:21.732266100+00:00,thermal,25,0.007,0.007,0.251,important,warning
2026-03-17T15:45:21.782235600+00:00,thermal,26,0.008,0.008,0.205,important,warning
2026-03-17T15:45:21.831285900+00:00,power,12,0.009,-0.009,0.227,normal,normal
2026-03-17T15:45:21.832186600+00:00,thermal,27,0.008,0.008,0.156,important,warning
2026-03-17T15:45:21.875504300+00:00,attitude,6,4.085,-4.085,0.442,normal,normal
2026-03-17T15:45:21.882223600+00:00,thermal,28,0.011,0.011,0.180,important,warning
2026-03-17T15:45:21.931470100+00:00,power,13,0.003,0.003,0.407,normal,normal
2026-03-17T15:45:21.932285100+00:00,thermal,29,0.001,0.001,0.242,important,warning
2026-03-17T15:45:21.982534200+00:00,thermal,30,0.013,0.013,0.473,important,warning
2026-03-17T15:45:22.031407+00:00,power,14,0.003,0.003,0.342,normal,normal
2026-03-17T15:45:22.032601800+00:00,thermal,31,0.003,0.003,0.544,important,warning
2026-03-17T15:45:22.075422300+00:00,attitude,7,0.010,0.010,0.349,normal,normal
2026-03-17T15:45:22.082482200+00:00,thermal,32,0.207,0.207,0.217,important,warning
2026-03-17T15:45:22.131388600+00:00,power,15,0.007,-0.007,0.331,normal,normal
2026-03-17T15:45:22.132459800+00:00,thermal,33,0.024,0.024,0.171,important,warning
2026-03-17T15:45:22.182797500+00:00,thermal,34,0.011,0.011,0.494,important,warning
2026-03-17T15:45:22.231268300+00:00,power,16,0.001,0.001,0.209,normal,normal
2026-03-17T15:45:22.232418+00:00,thermal,35,0.010,0.010,0.110,important,warning
