ts,total,critical,important,normal
2026-03-18T08:03:12.357686400+00:00,1,0,1,0
2026-03-18T08:03:12.360423800+00:00,64,2,62,0
2026-03-18T08:03:12.362876700+00:00,64,0,38,26
2026-03-18T08:03:12.374442800+00:00,45,0,0,45
2026-03-18T08:03:12.406295100+00:00,1,0,1,0
2026-03-18T08:03:12.450014600+00:00,1,0,1,0
2026-03-18T08:03:12.452941300+00:00,1,0,0,1
2026-03-18T08:03:12.515750300+00:00,1,0,1,0
2026-03-18T08:03:12.550699700+00:00,1,0,1,0
2026-03-18T08:03:12.562637200+00:00,2,0,0,2
2026-03-18T08:03:12.610608800+00:00,1,0,1,0
2026-03-18T08:03:12.650445900+00:00,1,0,1,0
2026-03-18T08:03:12.658309900+00:00,1,0,0,1
2026-03-18T08:03:12.705130400+00:00,1,0,1,0
2026-03-18T08:03:12.750383800+00:00,1,0,1,0
2026-03-18T08:03:12.751667800+00:00,2,0,0,2
2026-03-18T08:03:12.814866600+00:00,1,0,1,0
2026-03-18T08:03:12.850275300+00:00,1,0,1,0
2026-03-18T08:03:12.861853600+00:00,1,0,0,1
2026-03-18T08:03:12.899773300+00:00,1,0,1,0
2026-03-18T08:03:12.950343600+00:00,1,0,1,0
2026-03-18T08:03:12.957632500+00:00,2,0,0,2
2026-03-18T08:03:13.000026700+00:00,1,0,1,0
2026-03-18T08:03:13.050384700+00:00,1,0,1,0
2026-03-18T08:03:13.066813500+00:00,1,0,0,1
2026-03-18T08:03:13.100619700+00:00,1,0,1,0
2026-03-18T08:03:13.149977700+00:00,1,0,1,0
2026-03-18T08:03:13.151901800+00:00,2,0,0,2
2026-03-18T08:03:17.357709300+00:00,1,0,1,0
2026-03-18T08:03:17.360298300+00:00,64,0,64,0
2026-03-18T08:03:17.364725300+00:00,64,0,19,45
2026-03-18T08:03:17.365319100+00:00,18,0,0,18
2026-03-18T08:03:17.410943800+00:00,1,0,1,0
2026-03-18T08:03:17.457458300+00:00,2,0,1,1
2026-03-18T08:03:17.505543500+00:00,1,0,1,0
2026-03-18T08:03:17.551928800+00:00,3,0,1,2
2026-03-18T08:03:17.615192+00:00,1,0,1,0
2026-03-18T08:03:17.651731800+00:00,2,0,1,1
2026-03-18T08:03:17.710914800+00:00,1,0,1,0
2026-03-18T08:03:17.756307900+00:00,3,0,1,2
2026-03-18T08:03:17.802357900+00:00,1,0,1,0
2026-03-18T08:03:17.852177900+00:00,1,0,0,1
2026-03-18T08:03:17.853667900+00:00,1,0,1,0
2026-03-18T08:03:17.913423100+00:00,1,0,1,0
2026-03-18T08:03:17.951983200+00:00,3,0,1,2
2026-03-18T08:03:18.008645600+00:00,1,0,1,0
