ts,window_ms,active_ms,idle_ms,active_pct
2026-03-18T08:03:08.353962100+00:00,1003,114.000,889.657,11.37
2026-03-18T08:03:09.360345400+00:00,1005,128.000,877.259,12.74
2026-03-18T08:03:10.362554+00:00,1002,122.000,880.163,12.18
2026-03-18T08:03:11.414390100+00:00,1051,127.000,924.574,12.08
2026-03-18T08:03:12.456136500+00:00,1041,125.000,916.641,12.01
2026-03-18T08:03:13.458582100+00:00,1002,122.000,880.383,12.18
2026-03-18T08:03:14.462823900+00:00,1004,128.000,876.005,12.75
2026-03-18T08:03:15.515397500+00:00,1052,125.000,927.407,11.88
2026-03-18T08:03:16.553819600+00:00,1038,125.000,913.318,12.04
2026-03-18T08:03:17.559970+00:00,1006,128.000,878.080,12.72
2026-03-18T08:03:18.560201800+00:00,1000,122.000,878.173,12.20
2026-03-18T08:03:19.604452900+00:00,1044,125.000,919.135,11.97
2026-03-18T08:03:20.654468800+00:00,1047,125.000,922.369,11.94
2026-03-18T08:03:21.665365300+00:00,1010,122.000,888.698,12.08
2026-03-18T08:03:22.703704900+00:00,1038,131.000,907.282,12.62
2026-03-18T08:03:23.703796500+00:00,1000,122.000,878.064,12.20
2026-03-18T08:03:24.705421800+00:00,1001,122.000,879.596,12.19
2026-03-18T08:03:25.753772500+00:00,1048,125.000,923.064,11.93
2026-03-18T08:03:26.759918700+00:00,1006,128.000,878.115,12.72
2026-03-18T08:03:27.760305200+00:00,1000,122.000,878.260,12.20
2026-03-18T08:03:28.803758900+00:00,1043,125.000,918.370,11.98
2026-03-18T08:03:29.804279400+00:00,1000,122.000,878.490,12.20
2026-03-18T08:03:30.807025+00:00,1002,122.000,880.518,12.18
2026-03-18T08:03:31.853888800+00:00,1046,125.000,921.595,11.95
2026-03-18T08:03:32.855670100+00:00,1001,122.000,879.732,12.19
2026-03-18T08:03:33.860016500+00:00,1004,128.000,876.326,12.75
2026-03-18T08:03:34.860665+00:00,1000,122.000,878.535,12.20
2026-03-18T08:03:35.903815100+00:00,1042,125.000,917.940,12.00
2026-03-18T08:03:36.903987+00:00,1000,122.000,878.141,12.20
2026-03-18T08:03:37.953745500+00:00,1049,125.000,924.731,11.92
2026-03-18T08:03:38.964487400+00:00,1010,122.000,888.625,12.08
2026-03-18T08:03:40.004597+00:00,1040,131.000,909.052,12.60
2026-03-18T08:03:41.054145800+00:00,1049,125.000,924.312,11.92
2026-03-18T08:03:42.054464700+00:00,1000,122.000,878.109,12.20
2026-03-18T08:03:43.059763100+00:00,1005,128.000,877.103,12.74
2026-03-18T08:03:44.059864600+00:00,1000,122.000,878.080,12.20
2026-03-18T08:03:45.060725600+00:00,1000,122.000,878.837,12.20
2026-03-18T08:03:46.103754200+00:00,1042,125.000,917.998,12.00
2026-03-18T08:03:47.104017100+00:00,1000,122.000,878.227,12.20
2026-03-18T08:03:48.153925300+00:00,1049,125.000,924.889,11.92
2026-03-18T08:03:49.154187600+00:00,1000,122.000,878.240,12.20
2026-03-18T08:03:50.154671800+00:00,1000,122.000,878.446,12.20
2026-03-18T08:03:51.160631+00:00,1005,128.000,877.933,12.74
