ts,priority,dropped_count
2026-03-17T17:17:31.770978300+00:00,normal,1
2026-03-17T17:17:31.820972800+00:00,normal,1
2026-03-17T17:17:31.865976700+00:00,normal,1
2026-03-17T17:17:31.866718600+00:00,normal,1
2026-03-17T17:17:31.870801200+00:00,normal,1
2026-03-17T17:17:31.920835900+00:00,normal,1
2026-03-17T17:17:31.965600500+00:00,normal,1
2026-03-17T17:17:31.971034+00:00,normal,1
2026-03-17T17:17:32.020967100+00:00,normal,1
2026-03-17T17:17:32.065471200+00:00,normal,1
2026-03-17T17:17:32.066070300+00:00,normal,1
2026-03-17T17:17:32.070765100+00:00,normal,1
2026-03-17T17:17:32.120779+00:00,normal,1
2026-03-17T17:17:32.165537100+00:00,normal,1
2026-03-17T17:17:32.170810800+00:00,normal,1
2026-03-17T17:17:32.220911700+00:00,normal,1
2026-03-17T17:17:32.265687800+00:00,normal,1
2026-03-17T17:17:32.266013600+00:00,normal,1
2026-03-17T17:17:32.270782400+00:00,normal,1
2026-03-17T17:17:32.320803+00:00,normal,1
2026-03-17T17:17:32.365991600+00:00,normal,1
2026-03-17T17:17:32.370898+00:00,normal,1
2026-03-17T17:17:32.420820400+00:00,normal,1
2026-03-17T17:17:32.465427700+00:00,normal,1
2026-03-17T17:17:32.466083300+00:00,normal,1
2026-03-17T17:17:32.470855300+00:00,normal,1
2026-03-17T17:17:32.520852+00:00,normal,1
2026-03-17T17:17:32.565546200+00:00,normal,1
2026-03-17T17:17:32.570878800+00:00,normal,1
2026-03-17T17:17:32.620785500+00:00,normal,1
2026-03-17T17:17:32.665474200+00:00,normal,1
2026-03-17T17:17:32.666174800+00:00,normal,1
2026-03-17T17:17:32.670788900+00:00,normal,1
2026-03-17T17:17:32.720826600+00:00,normal,1
2026-03-17T17:17:32.765610700+00:00,normal,1
2026-03-17T17:17:32.770815100+00:00,normal,1
2026-03-17T17:17:32.820791100+00:00,normal,1
2026-03-17T17:17:32.865571200+00:00,normal,1
2026-03-17T17:17:32.866279+00:00,normal,1
2026-03-17T17:17:32.870802700+00:00,normal,1
2026-03-17T17:17:32.920799700+00:00,normal,1
2026-03-17T17:17:32.965601600+00:00,normal,1
2026-03-17T17:17:32.970778500+00:00,normal,1
2026-03-17T17:17:33.020856600+00:00,normal,1
2026-03-17T17:17:33.065760200+00:00,normal,1
2026-03-17T17:17:33.066031500+00:00,normal,1
2026-03-17T17:17:33.070776800+00:00,normal,1
2026-03-17T17:17:33.120876500+00:00,normal,1
2026-03-17T17:17:33.165514900+00:00,normal,1
2026-03-17T17:17:33.170826800+00:00,normal,1
2026-03-17T17:17:33.221123300+00:00,normal,1
2026-03-17T17:17:33.265566700+00:00,normal,1
2026-03-17T17:17:33.266566900+00:00,normal,1
2026-03-17T17:17:33.271100200+00:00,normal,1
2026-03-17T17:17:33.320942600+00:00,normal,1
2026-03-17T17:17:33.365581900+00:00,normal,1
2026-03-17T17:17:33.370835700+00:00,normal,1
2026-03-17T17:17:33.420918300+00:00,normal,1
2026-03-17T17:17:33.465988600+00:00,normal,1
2026-03-17T17:17:33.466444100+00:00,normal,1
2026-03-17T17:17:33.471338600+00:00,normal,1
2026-03-17T17:17:33.521114100+00:00,normal,1
2026-03-17T17:17:33.565655800+00:00,normal,1
2026-03-17T17:17:33.570987900+00:00,normal,1
2026-03-17T17:17:33.620929500+00:00,normal,1
2026-03-17T17:17:33.665920100+00:00,normal,1
2026-03-17T17:17:33.666049400+00:00,normal,1
2026-03-17T17:17:33.671022200+00:00,normal,1
2026-03-17T17:17:33.720940800+00:00,normal,1
2026-03-17T17:17:33.765516700+00:00,normal,1
2026-03-17T17:17:33.770877200+00:00,normal,1
2026-03-17T17:17:33.820957+00:00,normal,1
2026-03-17T17:17:33.865525800+00:00,normal,1
2026-03-17T17:17:33.866236200+00:00,normal,1
2026-03-17T17:17:33.870977100+00:00,normal,1
2026-03-17T17:17:33.921120+00:00,normal,1
2026-03-17T17:17:33.965594700+00:00,normal,1
2026-03-17T17:17:33.970871300+00:00,normal,1
2026-03-17T17:17:34.021094700+00:00,normal,1
2026-03-17T17:17:34.065813300+00:00,normal,1
2026-03-17T17:17:34.065998500+00:00,normal,1
2026-03-17T17:17:34.070871600+00:00,normal,1
2026-03-17T17:17:34.120894500+00:00,normal,1
2026-03-17T17:17:34.165381900+00:00,normal,1
2026-03-17T17:17:34.171035600+00:00,normal,1
2026-03-17T17:17:34.220933300+00:00,normal,1
2026-03-17T17:17:34.265648100+00:00,normal,1
2026-03-17T17:17:34.266105700+00:00,normal,1
2026-03-17T17:17:34.270908900+00:00,normal,1
2026-03-17T17:17:34.320917600+00:00,normal,1
2026-03-17T17:17:34.365650700+00:00,normal,1
2026-03-17T17:17:34.370971200+00:00,normal,1
2026-03-17T17:17:34.420948300+00:00,normal,1
2026-03-17T17:17:34.465726100+00:00,normal,1
2026-03-17T17:17:34.466071600+00:00,normal,1
2026-03-17T17:17:34.470935+00:00,normal,1
2026-03-17T17:17:34.521526200+00:00,normal,1
2026-03-17T17:17:34.565425300+00:00,normal,1
2026-03-17T17:17:34.571186600+00:00,normal,1
2026-03-17T17:17:34.620975700+00:00,normal,1
2026-03-17T17:17:34.665406600+00:00,normal,1
2026-03-17T17:17:34.666181700+00:00,normal,1
2026-03-17T17:17:34.670928+00:00,normal,1
2026-03-17T17:17:34.721286900+00:00,normal,1
2026-03-17T17:17:36.573205600+00:00,normal,1
2026-03-17T17:17:36.622725900+00:00,normal,1
2026-03-17T17:17:36.665778200+00:00,normal,1
2026-03-17T17:17:36.666127400+00:00,normal,1
2026-03-17T17:17:36.672898+00:00,normal,1
2026-03-17T17:17:36.722631900+00:00,normal,1
2026-03-17T17:17:36.765680300+00:00,normal,1
2026-03-17T17:17:36.772643600+00:00,normal,1
2026-03-17T17:17:36.822695100+00:00,normal,1
2026-03-17T17:17:36.865645400+00:00,normal,1
2026-03-17T17:17:36.866348100+00:00,normal,1
2026-03-17T17:17:36.872594900+00:00,normal,1
2026-03-17T17:17:36.922650900+00:00,normal,1
2026-03-17T17:17:36.965832900+00:00,normal,1
2026-03-17T17:17:36.972725600+00:00,normal,1
2026-03-17T17:17:37.023205800+00:00,normal,1
2026-03-17T17:17:37.065956+00:00,normal,1
2026-03-17T17:17:37.066124700+00:00,normal,1
2026-03-17T17:17:37.072963800+00:00,normal,1
2026-03-17T17:17:37.123040700+00:00,normal,1
2026-03-17T17:17:37.165730900+00:00,normal,1
2026-03-17T17:17:37.173073800+00:00,normal,1
2026-03-17T17:17:37.223043700+00:00,normal,1
2026-03-17T17:17:37.265708300+00:00,normal,1
2026-03-17T17:17:37.266194400+00:00,normal,1
2026-03-17T17:17:37.273042900+00:00,normal,1
2026-03-17T17:17:37.323090300+00:00,normal,1
2026-03-17T17:17:37.366135700+00:00,normal,1
2026-03-17T17:17:37.373198500+00:00,normal,1
2026-03-17T17:17:37.423006600+00:00,normal,1
