ts,event,fault_id,target,kind,duration_ms,component,recovery_ms,aborted,note
2026-03-18T08:03:07.355598800+00:00,inject,0496cb31-5e8c-4615-a324-1a3ad1989727,power,corrupt,200,,,,
2026-03-18T08:03:07.650507800+00:00,recovery,0496cb31-5e8c-4615-a324-1a3ad1989727,,,,power,93.0,false,
2026-03-18T08:04:07.356490+00:00,inject,f7b8a069-7002-4eb2-830d-2b5a9cbf0862,attitude,pause,150,,,,
2026-03-18T08:04:07.551332500+00:00,recovery,f7b8a069-7002-4eb2-830d-2b5a9cbf0862,,,,attitude,43.8,false,
2026-03-18T08:05:07.365526200+00:00,inject,a97e75a4-64c7-454f-b206-fb07d0c69f0b,thermal,delay,150,,,,
2026-03-18T08:05:07.538536+00:00,recovery,a97e75a4-64c7-454f-b206-fb07d0c69f0b,,,,thermal,22.0,false,
2026-03-18T08:06:07.366486400+00:00,inject,f9c2db93-4388-458d-99cc-ca7a0ba0b02d,power,corrupt,200,,,,
2026-03-18T08:06:07.652103300+00:00,recovery,f9c2db93-4388-458d-99cc-ca7a0ba0b02d,,,,power,82.6,false,
2026-03-18T08:07:07.373887800+00:00,inject,f7ac966e-3ab3-40b4-bca4-1cd0ff8d90a8,attitude,pause,150,,,,
2026-03-18T08:07:07.553868500+00:00,recovery,f7ac966e-3ab3-40b4-bca4-1cd0ff8d90a8,,,,attitude,24.0,false,
2026-03-18T08:08:07.374531500+00:00,inject,795647bf-2c08-4aa5-b88b-b14e32c19702,thermal,delay,150,,,,
2026-03-18T08:08:07.554639700+00:00,recovery,795647bf-2c08-4aa5-b88b-b14e32c19702,,,,thermal,25.3,false,
2026-03-18T08:09:07.386125900+00:00,inject,b9b92975-b7d5-4b1d-a742-6a91e365bf1d,power,corrupt,200,,,,
2026-03-18T08:09:07.658225300+00:00,recovery,b9b92975-b7d5-4b1d-a742-6a91e365bf1d,,,,power,69.7,false,
2026-03-18T08:10:07.398019300+00:00,inject,260364ed-1527-4430-af81-db8fe8c13a11,attitude,pause,150,,,,
2026-03-18T08:10:07.556910700+00:00,recovery,260364ed-1527-4430-af81-db8fe8c13a11,,,,attitude,1.9,false,
2026-03-18T08:11:07.410633100+00:00,inject,a927b0ca-4a7b-40d2-bbce-a68985851862,thermal,delay,150,,,,
2026-03-18T08:11:07.596938200+00:00,recovery,a927b0ca-4a7b-40d2-bbce-a68985851862,,,,thermal,35.4,false,
