ts,sensor,seq,jitter_ms,drift_ms,processing_latency_ms,priority,status
2025-09-05T17:52:19.629212+00:00,thermal,0,48.799,-48.799,0.000,important,warning
2025-09-05T17:52:19.629220+00:00,power,0,98.750,-98.750,0.000,normal,normal
2025-09-05T17:52:19.629220+00:00,attitude,0,0.000,0.000,0.000,important,warning
2025-09-05T17:52:19.680098+00:00,thermal,1,1.077,1.077,0.000,important,warning
2025-09-05T17:52:19.730287+00:00,power,1,1.228,1.228,0.000,normal,normal
2025-09-05T17:52:19.730303+00:00,thermal,2,0.209,0.209,0.000,important,warning
2025-09-05T17:52:19.779415+00:00,thermal,3,0.898,-0.898,0.000,important,warning
2025-09-05T17:52:19.833554+00:00,power,2,3.272,3.272,0.000,normal,normal
2025-09-05T17:52:19.833581+00:00,thermal,4,4.177,4.177,0.000,important,warning
2025-09-05T17:52:19.833647+00:00,attitude,1,4.587,4.587,0.000,important,warning
2025-09-05T17:52:19.885489+00:00,thermal,5,1.906,1.906,0.000,important,warning
2025-09-05T17:52:19.936042+00:00,thermal,6,0.553,0.553,0.000,important,warning
2025-09-05T17:52:19.936052+00:00,power,3,2.502,2.502,0.000,normal,normal
2025-09-05T17:52:19.984898+00:00,thermal,7,1.148,-1.148,0.000,important,warning
2025-09-05T17:52:20.035429+00:00,thermal,8,0.536,0.536,0.000,important,warning
2025-09-05T17:52:20.035466+00:00,power,4,0.588,-0.588,0.000,normal,normal
2025-09-05T17:52:20.035481+00:00,attitude,2,1.855,1.855,0.000,normal,normal
2025-09-05T17:52:20.085142+00:00,thermal,9,0.292,-0.292,0.000,important,warning
2025-09-05T17:52:20.135572+00:00,power,5,0.105,0.105,0.000,normal,normal
2025-09-05T17:52:20.135572+00:00,thermal,10,0.426,0.426,0.000,important,warning
2025-09-05T17:52:20.185242+00:00,thermal,11,0.328,-0.328,0.000,important,warning
2025-09-05T17:52:20.235125+00:00,thermal,12,0.118,-0.118,0.000,important,warning
2025-09-05T17:52:20.235140+00:00,power,6,0.431,-0.431,0.000,normal,normal
2025-09-05T17:52:20.235199+00:00,attitude,3,0.321,-0.321,0.000,normal,normal
2025-09-05T17:52:20.285139+00:00,thermal,13,0.016,0.016,0.000,important,warning
2025-09-05T17:52:20.335519+00:00,thermal,14,0.376,0.376,0.000,important,warning
2025-09-05T17:52:20.335585+00:00,power,7,0.446,0.446,0.000,normal,normal
2025-09-05T17:52:20.385137+00:00,thermal,15,0.371,-0.371,0.000,important,warning
2025-09-05T17:52:20.435759+00:00,thermal,16,0.623,0.623,0.000,important,warning
2025-09-05T17:52:20.435790+00:00,power,8,0.207,0.207,0.000,normal,normal
2025-09-05T17:52:20.435834+00:00,attitude,4,0.665,0.665,0.000,normal,normal
2025-09-05T17:52:20.485535+00:00,thermal,17,0.228,-0.228,0.000,important,warning
2025-09-05T17:52:20.535800+00:00,thermal,18,0.260,0.260,0.000,important,warning
2025-09-05T17:52:20.535876+00:00,power,9,0.082,0.082,0.000,normal,normal
2025-09-05T17:52:20.585044+00:00,thermal,19,0.757,-0.757,0.000,important,warning
2025-09-05T17:52:20.635702+00:00,thermal,20,0.666,0.666,0.000,important,warning
2025-09-05T17:52:20.635740+00:00,power,10,0.133,-0.133,0.000,normal,normal
2025-09-05T17:52:20.635766+00:00,attitude,5,0.075,-0.075,0.000,normal,normal
2025-09-05T17:52:20.685192+00:00,thermal,21,0.512,-0.512,0.000,important,warning
2025-09-05T17:52:20.735+00:00,thermal,22,0.191,-0.191,0.000,important,warning
2025-09-05T17:52:20.735019+00:00,power,11,0.724,-0.724,0.000,normal,normal
2025-09-05T17:52:20.784731+00:00,thermal,23,0.271,-0.271,0.000,important,warning
