ts,oldest_ms,fill_pct
2026-03-14T16:07:33.469800600+00:00,46.346,0.0
2026-03-14T16:07:33.516253200+00:00,46.920,0.0
2026-03-14T16:07:33.564106900+00:00,94.758,0.2
2026-03-14T16:07:33.610023800+00:00,140.685,0.6
2026-03-14T16:07:33.671961900+00:00,202.612,0.8
2026-03-14T16:07:33.707768200+00:00,238.429,1.2
2026-03-14T16:07:33.766129300+00:00,296.795,1.4
2026-03-14T16:07:33.814283100+00:00,344.949,2.0
2026-03-14T16:07:33.861963200+00:00,392.619,2.0
2026-03-14T16:07:33.908157700+00:00,438.819,2.1
2026-03-14T16:07:33.972291700+00:00,502.952,2.5
2026-03-14T16:07:34.020192900+00:00,550.855,2.9
2026-03-14T16:07:34.067274700+00:00,597.943,3.3
2026-03-14T16:07:34.114327800+00:00,644.985,3.3
2026-03-14T16:07:34.160077600+00:00,690.741,3.7
2026-03-14T16:07:34.221863200+00:00,752.516,4.1
2026-03-14T16:07:34.267716400+00:00,798.375,4.5
2026-03-14T16:07:34.315020600+00:00,845.665,4.7
2026-03-14T16:07:34.361910500+00:00,892.573,4.9
2026-03-14T16:07:34.408221400+00:00,938.885,5.3
2026-03-14T16:07:34.469688+00:00,1000.330,5.7
2026-03-14T16:07:34.516933100+00:00,1047.585,5.9
2026-03-14T16:07:34.562096800+00:00,1092.763,6.1
2026-03-14T16:07:34.610685600+00:00,1141.319,6.4
2026-03-14T16:07:34.672536500+00:00,1203.193,6.6
2026-03-14T16:07:34.719630800+00:00,1250.296,7.0
2026-03-14T16:07:34.767022700+00:00,1297.668,7.2
2026-03-14T16:07:34.813789600+00:00,1344.455,7.8
2026-03-14T16:07:34.860127100+00:00,1390.789,7.8
2026-03-14T16:07:34.907636400+00:00,1438.302,8.2
2026-03-14T16:07:34.969642100+00:00,1500.303,8.4
2026-03-14T16:07:35.015685900+00:00,1546.346,9.0
2026-03-14T16:07:35.061764200+00:00,1592.432,9.2
2026-03-14T16:07:35.107629200+00:00,1638.289,9.2
2026-03-14T16:07:35.169641400+00:00,1700.306,9.6
2026-03-14T16:07:35.216486500+00:00,1747.127,10.0
2026-03-14T16:07:35.262585700+00:00,1793.248,10.4
2026-03-14T16:07:35.309135600+00:00,1839.795,10.5
2026-03-14T16:07:35.372332800+00:00,1902.989,10.9
2026-03-14T16:07:35.418083400+00:00,1948.746,11.1
2026-03-14T16:07:35.464931800+00:00,1995.595,11.5
2026-03-14T16:07:35.511044200+00:00,2041.700,11.7
2026-03-14T16:07:35.557717900+00:00,2088.367,12.1
2026-03-14T16:07:35.620512400+00:00,2151.172,12.5
2026-03-14T16:07:35.668464300+00:00,2199.127,12.7
2026-03-14T16:07:35.715336900+00:00,2245.996,12.9
2026-03-14T16:07:35.762200400+00:00,2292.861,13.1
2026-03-14T16:07:35.809297500+00:00,2339.953,13.5
2026-03-14T16:07:35.872227700+00:00,2402.887,13.9
2026-03-14T16:07:35.918473200+00:00,2449.126,14.1
2026-03-14T16:07:35.965127100+00:00,2495.789,14.3
2026-03-14T16:07:36.012753700+00:00,2543.418,14.6
2026-03-14T16:07:36.058691300+00:00,2589.355,15.0
2026-03-14T16:07:36.121929300+00:00,2652.598,15.4
2026-03-14T16:07:36.169266+00:00,2699.928,15.4
2026-03-14T16:07:36.217138600+00:00,2747.805,16.0
2026-03-14T16:07:36.263968800+00:00,2794.632,16.2
2026-03-14T16:07:36.311037+00:00,2841.694,16.4
2026-03-14T16:07:36.358252800+00:00,2888.914,16.6
2026-03-14T16:07:36.420109300+00:00,2950.767,16.8
2026-03-14T16:07:36.467340200+00:00,2998.000,17.4
2026-03-14T16:07:36.514321600+00:00,3044.973,17.6
2026-03-14T16:07:36.560805100+00:00,3091.468,18.0
2026-03-14T16:07:36.607861800+00:00,3138.526,18.2
2026-03-14T16:07:36.667560700+00:00,3198.226,18.6
2026-03-14T16:07:36.714435800+00:00,3245.076,18.8
2026-03-14T16:07:36.760735200+00:00,3291.390,19.1
2026-03-14T16:07:36.807726500+00:00,3338.385,19.3
2026-03-14T16:07:36.870048200+00:00,3400.705,19.9
2026-03-14T16:07:36.916659700+00:00,3447.320,19.9
2026-03-14T16:07:36.964215100+00:00,3494.877,20.1
2026-03-14T16:07:37.011938500+00:00,3542.600,20.5
2026-03-14T16:07:37.059190+00:00,3589.857,20.9
2026-03-14T16:07:37.112082100+00:00,3642.743,21.1
2026-03-14T16:07:37.169437900+00:00,3700.103,21.3
2026-03-14T16:07:37.216145+00:00,3746.813,21.7
